iter	Logloss
0	0.5838959142
1	0.5011111027
2	0.4411480936
3	0.395210027
4	0.3641194339
5	0.3360444575
6	0.3153514515
7	0.3005700691
8	0.2872360394
9	0.2774162347
10	0.2683713813
11	0.2607946496
12	0.2550334565
13	0.2499559822
14	0.2451375012
15	0.2409876627
16	0.2378303537
17	0.2348477952
18	0.2324986371
19	0.2305174832
20	0.2273567264
21	0.2258054076
22	0.221863273
23	0.2199465382
24	0.2179334485
25	0.2142343183
26	0.2104811034
27	0.2067083432
28	0.2039574755
29	0.2014711152
30	0.1992040826
31	0.196773415
32	0.1941895745
33	0.1918006933
34	0.1897746748
35	0.1883556713
36	0.1862294713
37	0.1844310058
38	0.183266584
39	0.18028565
40	0.1786496432
41	0.1767336823
42	0.1752663015
43	0.1738281524
44	0.1724226637
45	0.1706978757
46	0.1688043877
47	0.1673481699
48	0.1658087452
49	0.1648539402
50	0.1637171878
51	0.1626872076
52	0.1618608958
53	0.1602741716
54	0.1590996601
55	0.157398181
56	0.1561695747
57	0.1547513369
58	0.1537383394
59	0.1527380428
60	0.1518996389
61	0.1509443137
62	0.1499463405
63	0.1489339655
64	0.1473932768
65	0.1465291667
66	0.1457237873
67	0.1447992288
68	0.1439073791
69	0.14313157
70	0.1423166029
71	0.1413575761
72	0.1407136132
73	0.1400283868
74	0.1395514922
75	0.1390789862
76	0.1384111058
77	0.1379258124
78	0.1373696569
79	0.1369325346
80	0.1364867352
81	0.1358234387
82	0.1348231028
83	0.1344421551
84	0.1337927741
85	0.1331279937
86	0.1325836145
87	0.1319962807
88	0.1315511393
89	0.1309249741
90	0.1301666552
91	0.1294814388
92	0.1291725364
93	0.1284630858
94	0.1278772847
95	0.1274963
96	0.1269405173
97	0.1263991224
98	0.1257936231
99	0.1250763711
100	0.1243789974
101	0.1240817362
102	0.1233335764
103	0.122956656
104	0.1225663254
105	0.1222891388
106	0.1218422132
107	0.1215768116
108	0.1212549146
109	0.1210011733
110	0.1206491288
111	0.120324639
112	0.1200199702
113	0.1197198284
114	0.1194789914
115	0.1192017035
116	0.1184676503
117	0.1181961657
118	0.1175884772
119	0.1172071685
120	0.1168718146
121	0.1164317067
122	0.1161554998
123	0.1159766977
124	0.1157459633
125	0.1155281236
126	0.1152305165
127	0.1150232634
128	0.1147594201
129	0.1143836929
130	0.1140768261
131	0.1138646158
132	0.1136113062
133	0.1131207462
134	0.1127202979
135	0.112461785
136	0.1122683197
137	0.1120388802
138	0.1117754763
139	0.1115541901
140	0.1113310964
141	0.1108317982
142	0.1106391656
143	0.110363744
144	0.110184017
145	0.1098876771
146	0.1097247178
147	0.1094397887
148	0.1092168899
149	0.1090269353
150	0.108904218
151	0.1086230027
152	0.1083462701
153	0.1082095675
154	0.1079138555
155	0.1077022753
156	0.1074869548
157	0.1072854553
158	0.1071382586
159	0.1067960652
160	0.1066392638
161	0.1064557336
162	0.1062933046
163	0.106067187
164	0.1058080888
165	0.1056429096
166	0.1054337917
167	0.1052896595
168	0.1050779799
169	0.104861024
170	0.1045301415
171	0.1043662737
172	0.1042097352
173	0.1039846712
174	0.1038170833
175	0.1035990012
176	0.103458885
177	0.1032820387
178	0.1031151023
179	0.1029095937
180	0.1027305904
181	0.1025414056
182	0.1024248986
183	0.1021997748
184	0.1020520229
185	0.1018373279
186	0.1016881144
187	0.1014449786
188	0.1012810374
189	0.1010612292
190	0.1009362075
191	0.1008041081
192	0.100536246
193	0.100398452
194	0.1002320979
195	0.1000622106
196	0.0998147855
197	0.09964805311
198	0.09941907134
199	0.09925640051
200	0.09911805431
201	0.09896721452
202	0.09873316642
203	0.09861381111
204	0.09842302788
205	0.09829749103
206	0.09812400079
207	0.09805238532
208	0.0977364677
209	0.09760039617
210	0.09736938522
211	0.09723608665
212	0.09708356127
213	0.09695434388
214	0.09681325392
215	0.09663381211
216	0.09651758157
217	0.09637423474
218	0.09620773872
219	0.09608836288
220	0.09599562695
221	0.09591840443
222	0.09578702918
223	0.09560445393
224	0.09547885046
225	0.09534452977
226	0.09520873156
227	0.09507041228
228	0.09493415048
229	0.09481049132
230	0.09469699723
231	0.09457705238
232	0.09446031945
233	0.09431884665
234	0.09412653709
235	0.09404039565
236	0.09393383327
237	0.09374985444
238	0.09362804468
239	0.0935352508
240	0.09342140627
241	0.09326214859
242	0.09313454833
243	0.09294434826
244	0.09283203052
245	0.09272439491
246	0.09258651733
247	0.09247258474
248	0.09234120629
249	0.09224089664
250	0.09216324336
251	0.09198626331
252	0.09184533489
253	0.09163610285
254	0.0915507166
255	0.0914145237
256	0.09134415987
257	0.09119926708
258	0.09112087323
259	0.09099149111
260	0.09086517033
261	0.09077540767
262	0.09066173563
263	0.09056652744
264	0.09039398631
265	0.09030295924
266	0.09015938061
267	0.09004379939
268	0.08994058353
269	0.08977455157
270	0.08963843076
271	0.08943788674
272	0.08930197264
273	0.08920138281
274	0.08910642606
275	0.08900661514
276	0.08889654287
277	0.08880496915
278	0.08873805407
279	0.08865300594
280	0.08856139297
281	0.08847471584
282	0.08837669683
283	0.08829346981
284	0.08813981827
285	0.08804210544
286	0.08796096875
287	0.08786475031
288	0.08772563432
289	0.08764089603
290	0.08748397553
291	0.08737256128
292	0.08728312077
293	0.08720364457
294	0.08712237235
295	0.08704966495
296	0.08697730571
297	0.08689797187
298	0.08677942376
299	0.08664071252
300	0.08653312802
301	0.08640737944
302	0.0863319908
303	0.08625288557
304	0.08618186193
305	0.08608748787
306	0.08595668163
307	0.08586377048
308	0.08578359978
309	0.08571309861
310	0.08562966032
311	0.08555689269
312	0.08547134217
313	0.08539317373
314	0.08529128481
315	0.08523664931
316	0.08514491725
317	0.08509295705
318	0.08501463393
319	0.08491876411
320	0.08484145032
321	0.08479247846
322	0.08472638062
323	0.08465634214
324	0.08455032184
325	0.08447698429
326	0.0843947981
327	0.08432723278
328	0.08424588619
329	0.08414885553
330	0.08405887795
331	0.08399933217
332	0.08384740775
333	0.08375220687
334	0.08369623987
335	0.08363608493
336	0.08356819837
337	0.08349554345
338	0.08342700438
339	0.08333895332
340	0.08329333073
341	0.08323785015
342	0.08315767352
343	0.08310272363
344	0.08299939188
345	0.08294179999
346	0.08286151749
347	0.08277487595
348	0.08264390042
349	0.08255187267
350	0.0824783453
351	0.08240932118
352	0.08233555972
353	0.0822863337
354	0.08219120856
355	0.08212497565
356	0.08205377907
357	0.08199428805
358	0.08194810785
359	0.08189766806
360	0.08183915763
361	0.08178121348
362	0.08170892679
363	0.08163446764
364	0.081571088
365	0.08152662168
366	0.08144856275
367	0.08137785487
368	0.08132625972
369	0.08126075142
370	0.08120690624
371	0.08115416851
372	0.08109238501
373	0.08102378298
374	0.08095686561
375	0.08088623804
376	0.08081437846
377	0.08075913562
378	0.08068525734
379	0.08061847413
380	0.0805718828
381	0.08050562206
382	0.08046459034
383	0.08041898143
384	0.08035985773
385	0.08030104888
386	0.08024447683
387	0.08018927095
388	0.08012875005
389	0.08008383929
390	0.08002773905
391	0.07999706725
392	0.07996220475
393	0.07992907939
394	0.07987626318
395	0.07981597499
396	0.07973344337
397	0.07970125162
398	0.07959609146
399	0.07954328939
400	0.0794562358
401	0.07940793471
402	0.07933877233
403	0.07929324784
404	0.07924335973
405	0.07920948649
406	0.07914644223
407	0.07910268455
408	0.07904386018
409	0.07897853806
410	0.07888482016
411	0.07883598839
412	0.07878125843
413	0.07873170661
414	0.07865985113
415	0.07860848915
416	0.07854757355
417	0.07851876893
418	0.07846576061
419	0.07840427828
420	0.07834867496
421	0.07827915575
422	0.07823246951
423	0.07818651427
424	0.07814593566
425	0.07811559285
426	0.0780719246
427	0.07802686144
428	0.07796927548
429	0.0779229082
430	0.07786818965
431	0.07781730634
432	0.07778176486
433	0.0776760836
434	0.07760246405
435	0.07756089571
436	0.07751271736
437	0.07745350605
438	0.07739602276
439	0.07736329211
440	0.07729112999
441	0.07720993854
442	0.07714445808
443	0.07710328992
444	0.07706768228
445	0.0769975247
446	0.07694616272
447	0.07690518484
448	0.07686807733
449	0.07681428827
450	0.07676986849
451	0.07670675488
452	0.07666933708
453	0.07661581222
454	0.07654415341
455	0.07648762379
456	0.07644442645
457	0.07640170503
458	0.07632627077
459	0.0762870962
460	0.07623526423
461	0.07620977009
462	0.07616832496
463	0.07611248482
464	0.07606891787
465	0.07603126462
466	0.07598219465
467	0.07593334736
468	0.07590046613
469	0.07585718392
470	0.07582349275
471	0.07579199002
472	0.07575974852
473	0.07569951053
474	0.07566293735
475	0.07563238509
476	0.0755949139
477	0.07555948285
478	0.07551976345
479	0.07549399463
480	0.0754598321
481	0.0754202432
482	0.07536447242
483	0.07531699085
484	0.07527208967
485	0.07523645647
486	0.07518498316
487	0.07516590602
488	0.07511820132
489	0.07509421435
490	0.07502879914
491	0.0749807303
492	0.07494442269
493	0.07492440602
494	0.07488746187
495	0.07485237897
496	0.0748227667
497	0.0747691629
498	0.07473321668
499	0.07468580127
500	0.074641606
501	0.07460808092
502	0.07455724004
503	0.0745262
504	0.07450321599
505	0.07444273205
506	0.07441296144
507	0.07436038159
508	0.07431636381
509	0.07429646579
510	0.07426722905
511	0.07424649827
512	0.07421618603
513	0.07419724898
514	0.07415619125
515	0.07410574324
516	0.07407702578
517	0.07404512834
518	0.07401361557
519	0.07397751101
520	0.07396110507
521	0.07394487892
522	0.07390691584
523	0.07384170824
524	0.07381535398
525	0.07379799893
526	0.07378639376
527	0.07375505438
528	0.07370997707
529	0.07366521826
530	0.07363584737
531	0.07361271416
532	0.07358436448
533	0.07356159128
534	0.07350729527
535	0.07347893236
536	0.07345521325
537	0.07342127476
538	0.07338343716
539	0.07336090079
540	0.07332005204
541	0.0732867209
542	0.07325884121
543	0.07321932898
544	0.07317724319
545	0.07312392367
546	0.0730900299
547	0.07306103501
548	0.07302607304
549	0.07298458364
550	0.07297499397
551	0.07294553638
552	0.07291529304
553	0.0728805761
554	0.07285399597
555	0.07280039171
556	0.07276964872
557	0.07273884185
558	0.07267452085
559	0.07265389319
560	0.07261376997
561	0.07258956854
562	0.07252590691
563	0.07250152798
564	0.07248266987
565	0.07245807921
566	0.07244911285
567	0.07243900025
568	0.07241504478
569	0.07238498624
570	0.07235215931
571	0.07232322328
572	0.07225819684
573	0.07220886906
574	0.07217809184
575	0.07213919881
576	0.07209812831
577	0.07208063728
578	0.0720551468
579	0.07202572891
580	0.07199649628
581	0.071960676
582	0.07192444277
583	0.07189468037
584	0.07185023002
585	0.07181374856
586	0.07179100046
587	0.07175912629
588	0.071738239
589	0.0717088964
590	0.07168928402
591	0.07165091118
592	0.07162113372
593	0.07159155476
594	0.07156747426
595	0.07154261484
596	0.0714966628
597	0.07147131742
598	0.07143901615
599	0.07140683306
600	0.07137442091
601	0.07134969839
602	0.07131864876
603	0.07128614809
604	0.07125208047
605	0.07120781766
606	0.0711482988
607	0.07112064453
608	0.07108470333
609	0.07107857517
610	0.0710556733
611	0.07102701835
612	0.07099851398
613	0.07098910227
614	0.07097707091
615	0.0709465433
616	0.07092428664
617	0.07090203728
618	0.07088225743
619	0.07085487557
620	0.07082390854
621	0.0707873641
622	0.07075909701
623	0.07074891551
624	0.07072000504
625	0.07069985695
626	0.07066344759
627	0.07064335061
628	0.07060650958
629	0.07057502601
630	0.07055035413
631	0.07053022476
632	0.07049982901
633	0.07047774301
634	0.07044212761
635	0.07041729603
636	0.07037683651
637	0.07035070264
638	0.07033663435
639	0.07031595194
640	0.07027246439
641	0.07023550243
642	0.07021809354
643	0.0702042023
644	0.07019851584
645	0.07016154476
646	0.07014122055
647	0.07012440896
648	0.07009021449
649	0.07006002682
650	0.07003105702
651	0.07000397358
652	0.0699763768
653	0.06994626533
654	0.06992028204
655	0.06989367362
656	0.06987230493
657	0.06983481777
658	0.06979846726
659	0.06977332038
660	0.06975175456
661	0.06972190182
662	0.06970014116
663	0.06966217351
664	0.06962541735
665	0.06960477099
666	0.06958193346
667	0.06956349674
668	0.06954169798
669	0.06952504427
670	0.06948159368
671	0.06946151085
672	0.0694444337
673	0.06942893809
674	0.06940337733
675	0.06938744709
676	0.06936658512
677	0.06935394324
678	0.06933258435
679	0.06931198522
680	0.06929761462
681	0.06925177551
682	0.06922807443
683	0.06921112549
684	0.06919063906
685	0.0691639145
686	0.06914331879
687	0.06912951401
688	0.06911179415
689	0.06908550993
690	0.06905326889
691	0.06903278999
692	0.06900790525
693	0.06898022291
694	0.06894766976
695	0.06893361242
696	0.0689141942
697	0.06889180498
698	0.06886422486
699	0.06884317877
700	0.06881765064
701	0.06880383446
702	0.06879267921
703	0.06877713454
704	0.06875914409
705	0.06874098276
706	0.06872395648
707	0.0686979992
708	0.06867886457
709	0.06866032153
710	0.06864467306
711	0.06861388581
712	0.06859748557
713	0.06856627989
714	0.06854629699
715	0.06852954449
716	0.0684960995
717	0.06848209828
718	0.068467774
719	0.06844942536
720	0.06843304588
721	0.06840338205
722	0.06837528653
723	0.06835784319
724	0.06833034497
725	0.06830322914
726	0.06828547003
727	0.06826701894
728	0.06823096298
729	0.06820258775
730	0.06819173001
731	0.0681832658
732	0.06817215527
733	0.06815201335
734	0.06812864673
735	0.06810276246
736	0.0680847549
737	0.06807005805
738	0.06805361629
739	0.06802661248
740	0.06800497708
741	0.06796633387
742	0.06794608906
743	0.06793674966
744	0.06791517769
745	0.06790224673
746	0.06788185818
747	0.06786043678
748	0.06783707861
749	0.06780829886
750	0.06778620647
751	0.06777498574
752	0.06777195383
753	0.06775153516
754	0.06772242186
755	0.06768930266
756	0.06767763407
757	0.06765575842
758	0.06764378639
759	0.06762456689
760	0.06760360316
761	0.06757697124
762	0.06755477549
763	0.06753455851
764	0.06751487723
765	0.06749356854
766	0.06746625444
767	0.06745144557
768	0.06743055166
769	0.06740434683
770	0.06738632855
771	0.06735924579
772	0.06734918248
773	0.06733362732
774	0.067310892
775	0.06729400329
776	0.0672713282
777	0.06725416115
778	0.06723352597
779	0.06720356804
780	0.06718852737
781	0.06717863083
782	0.06714890425
783	0.06713639355
784	0.06712395928
785	0.06710812121
786	0.0670893911
787	0.06707852332
788	0.06706075691
789	0.06704698681
790	0.06701366685
791	0.06699243139
792	0.06697927639
793	0.06696113148
794	0.06694090264
795	0.06692649668
796	0.06691462572
797	0.06689685498
798	0.06687015894
799	0.06686443849
800	0.06683480888
801	0.06681995962
802	0.06678794195
803	0.06676877994
804	0.06675199093
805	0.06673476913
806	0.06672694421
807	0.06670883763
808	0.06668244686
809	0.06667496896
810	0.06666232182
811	0.06664925717
812	0.06663143236
813	0.0666199764
814	0.06660300054
815	0.06657620024
816	0.06655637682
817	0.06654351385
818	0.0665284029
819	0.06650562332
820	0.06648642138
821	0.06647468138
822	0.06646191173
823	0.06644305065
824	0.06641984146
825	0.06640009789
826	0.06638822784
827	0.06635539292
828	0.06633435026
829	0.06632532549
830	0.06631007263
831	0.06629502397
832	0.06627852495
833	0.06625612889
834	0.06624147607
835	0.06622957932
836	0.06621660137
837	0.06620086894
838	0.06618767104
839	0.06616543081
840	0.06615788149
841	0.06614214701
842	0.06612885626
843	0.06611921274
844	0.06610414651
845	0.06609209736
846	0.06608076164
847	0.06606852267
848	0.06603317215
849	0.06602407985
850	0.06600562602
851	0.06599325495
852	0.0659792729
853	0.06596397373
854	0.06594490092
855	0.06592962229
856	0.06591693728
857	0.06589805338
858	0.06587700273
859	0.06586334945
860	0.06583486972
861	0.0658160561
862	0.06579739625
863	0.065779717
864	0.06575343712
865	0.06574571053
866	0.06573471065
867	0.06571775167
868	0.06570124466
869	0.06568534386
870	0.06566348943
871	0.06565292555
872	0.06563586596
873	0.06560997826
874	0.06557842966
875	0.06556817265
876	0.06555534481
877	0.06554353089
878	0.06553149383
879	0.06552035364
880	0.0655051277
881	0.06549175892
882	0.06547897102
883	0.0654562074
884	0.06545217414
885	0.0654418003
886	0.06542663825
887	0.06540731882
888	0.06539187363
889	0.06536800645
890	0.06535607708
891	0.06534609498
892	0.06532202953
893	0.06530890716
894	0.06529210447
895	0.06527472364
896	0.0652618885
897	0.06525097304
898	0.06523280714
899	0.06522259689
900	0.06521768433
901	0.06520574948
902	0.06519699028
903	0.06518126971
904	0.06517044505
905	0.0651570149
906	0.06513873995
907	0.06512584823
908	0.06511458986
909	0.06509937556
910	0.06509181438
911	0.06507167177
912	0.0650465242
913	0.06503961554
914	0.06502977353
915	0.06501764293
916	0.06500785088
917	0.06499358729
918	0.06497047461
919	0.06495879689
920	0.06492755447
921	0.06490856837
922	0.06489586785
923	0.06488086253
924	0.06486684968
925	0.064854558
926	0.06484175527
927	0.06482226814
928	0.06481321805
929	0.06480154421
930	0.0647929908
931	0.06477163214
932	0.06475307109
933	0.06473849972
934	0.06472356103
935	0.06471099169
936	0.06470101416
937	0.06470099066
938	0.06468627784
939	0.06468252497
940	0.06467042494
941	0.06466308849
942	0.06464547267
943	0.06463299733
944	0.06462524131
945	0.06461418759
946	0.06460791068
947	0.06459365644
948	0.06458237388
949	0.06457113216
950	0.06456428852
951	0.06455007466
952	0.06453891941
953	0.06452265379
954	0.06451565136
955	0.0645111084
956	0.06450467064
957	0.06449085263
958	0.06447941515
959	0.06445981441
960	0.0644453813
961	0.06443270975
962	0.0644223325
963	0.06440940131
964	0.06439960927
965	0.06437947807
966	0.0643698163
967	0.06436092386
968	0.06435075947
969	0.06433684518
970	0.06432207076
971	0.06431196637
972	0.0643016206
973	0.06429302955
974	0.06427331427
975	0.06426687971
976	0.06425119062
977	0.06423182259
978	0.06422080606
979	0.06420413364
980	0.06419019037
981	0.06418146676
982	0.06417531283
983	0.06416615322
984	0.06415354555
985	0.06414010536
986	0.0641366589
987	0.06412985838
988	0.06411754982
989	0.06410531039
990	0.06409611428
991	0.06407731481
992	0.06406444887
993	0.06405414052
994	0.06404289971
995	0.06403571156
996	0.06402888846
997	0.06402475229
998	0.06401350738
999	0.06399670104
