iter	Passed	Remaining
0	13	13843
1	25	12884
2	37	12518
3	48	12173
4	60	12113
5	72	12060
6	84	11955
7	94	11774
8	105	11663
9	117	11616
10	129	11659
11	141	11681
12	153	11634
13	164	11608
14	179	11762
15	193	11919
16	208	12037
17	222	12139
18	235	12146
19	247	12117
20	259	12119
21	271	12057
22	285	12119
23	296	12064
24	307	11995
25	318	11940
26	329	11872
27	340	11818
28	351	11774
29	362	11719
30	373	11659
31	383	11599
32	394	11551
33	404	11506
34	416	11473
35	427	11440
36	437	11392
37	448	11360
38	459	11317
39	470	11292
40	481	11256
41	492	11225
42	502	11190
43	514	11171
44	525	11147
45	536	11120
46	547	11094
47	557	11060
48	568	11030
49	579	11011
50	591	10997
51	601	10968
52	612	10944
53	624	10932
54	634	10902
55	644	10862
56	655	10838
57	665	10803
58	676	10783
59	687	10771
60	698	10752
61	709	10737
62	720	10722
63	732	10719
64	745	10724
65	758	10730
66	772	10752
67	785	10761
68	798	10779
69	811	10781
70	825	10798
71	838	10808
72	853	10837
73	866	10847
74	880	10859
75	894	10873
76	908	10892
77	921	10888
78	934	10898
79	948	10903
80	961	10903
81	974	10910
82	986	10896
83	1000	10910
84	1015	10931
85	1028	10929
86	1041	10926
87	1054	10930
88	1067	10928
89	1081	10939
90	1095	10945
91	1108	10939
92	1122	10943
93	1136	10949
94	1149	10950
95	1162	10950
96	1174	10929
97	1186	10919
98	1197	10896
99	1209	10887
100	1225	10906
101	1237	10896
102	1251	10897
103	1263	10882
104	1275	10867
105	1286	10849
106	1298	10837
107	1310	10824
108	1321	10804
109	1333	10792
110	1345	10773
111	1356	10751
112	1367	10732
113	1378	10714
114	1390	10699
115	1403	10691
116	1417	10694
117	1431	10702
118	1446	10708
119	1460	10709
120	1472	10697
121	1487	10702
122	1500	10701
123	1515	10707
124	1530	10710
125	1544	10715
126	1560	10728
127	1574	10725
128	1587	10721
129	1602	10727
130	1618	10734
131	1633	10738
132	1646	10735
133	1661	10735
134	1675	10736
135	1690	10741
136	1703	10731
137	1717	10728
138	1730	10721
139	1746	10725
140	1761	10730
141	1776	10734
142	1792	10745
143	1806	10738
144	1818	10724
145	1830	10706
146	1842	10692
147	1855	10679
148	1866	10660
149	1878	10644
150	1892	10643
151	1905	10631
152	1918	10623
153	1930	10607
154	1943	10594
155	1955	10582
156	1968	10568
157	1980	10556
158	1993	10543
159	2005	10528
160	2017	10512
161	2030	10503
162	2044	10497
163	2057	10488
164	2070	10478
165	2083	10469
166	2095	10452
167	2108	10443
168	2121	10433
169	2134	10423
170	2147	10408
171	2158	10389
172	2170	10375
173	2183	10363
174	2195	10350
175	2207	10334
176	2219	10321
177	2231	10305
178	2243	10291
179	2255	10274
180	2266	10257
181	2278	10241
182	2291	10229
183	2303	10217
184	2315	10200
185	2327	10183
186	2338	10165
187	2348	10143
188	2359	10123
189	2369	10099
190	2379	10079
191	2390	10060
192	2401	10041
193	2412	10024
194	2423	10005
195	2434	9986
196	2445	9969
197	2457	9952
198	2468	9935
199	2479	9918
200	2490	9901
201	2502	9887
202	2515	9874
203	2527	9862
204	2538	9845
205	2550	9830
206	2562	9816
207	2574	9801
208	2586	9787
209	2597	9770
210	2608	9752
211	2619	9735
212	2630	9719
213	2641	9702
214	2652	9683
215	2663	9666
216	2674	9649
217	2685	9633
218	2696	9618
219	2708	9602
220	2719	9587
221	2731	9572
222	2742	9555
223	2753	9539
224	2765	9524
225	2776	9508
226	2787	9492
227	2798	9476
228	2809	9458
229	2820	9442
230	2831	9426
231	2843	9412
232	2854	9397
233	2866	9382
234	2876	9364
235	2887	9346
236	2898	9331
237	2909	9316
238	2920	9299
239	2931	9283
240	2941	9264
241	2952	9249
242	2964	9235
243	2975	9220
244	2987	9204
245	2997	9188
246	3008	9171
247	3019	9154
248	3029	9137
249	3040	9120
250	3050	9103
251	3061	9088
252	3072	9072
253	3083	9056
254	3095	9042
255	3105	9026
256	3117	9012
257	3128	8996
258	3139	8981
259	3149	8963
260	3160	8947
261	3170	8930
262	3180	8912
263	3191	8897
264	3202	8881
265	3212	8865
266	3223	8849
267	3233	8832
268	3244	8816
269	3255	8800
270	3266	8785
271	3277	8772
272	3288	8757
273	3299	8743
274	3310	8728
275	3321	8712
276	3331	8695
277	3342	8679
278	3353	8666
279	3364	8650
280	3374	8633
281	3383	8615
282	3394	8600
283	3405	8584
284	3416	8570
285	3426	8554
286	3437	8539
287	3448	8525
288	3459	8510
289	3470	8497
290	3481	8482
291	3493	8469
292	3504	8456
293	3516	8443
294	3527	8429
295	3538	8414
296	3549	8401
297	3560	8388
298	3572	8376
299	3584	8363
300	3595	8350
301	3608	8339
302	3619	8326
303	3630	8311
304	3642	8300
305	3654	8289
306	3667	8277
307	3678	8264
308	3689	8251
309	3700	8237
310	3712	8224
311	3723	8210
312	3734	8196
313	3745	8182
314	3756	8168
